location,source,target,id,fuzzy,context,developer_comments
"src/routes/messages.js","1 MONTH LICENSE","LICENÇA DE 1 MÊS","1m.monthlyPlanPicker.caption",false,"1m.monthlyPlanPicker.caption","1m.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every month","Faturado como um pagamento único de {currencyAndPrice} todos os meses","1m.monthlyPlanPicker.chargeComment",false,"1m.monthlyPlanPicker.chargeComment","1m.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Monthly Plan","Plano Mensal","1m.planPicker.caption",false,"1m.planPicker.caption","1m.planPicker.caption"
"src/routes/messages.js",Monthly,Mensalmente,"1m.planPicker.periodTitle",false,"1m.planPicker.periodTitle","1m.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Monthly plan","Alguém em <%geo%> acabou de comprar um plano Mensal","1m.planPicker.salePrompt",false,"1m.planPicker.salePrompt","1m.planPicker.salePrompt"
"src/routes/messages.js","1 month license","LICENÇA DE 1 MÊS","1m.receipt.caption",false,"1m.receipt.caption","1m.receipt.caption"
"src/routes/messages.js",Yearly,Anualmente,"1y.buyPage.periodTitle",false,"1y.buyPage.periodTitle","1y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 12 months","Pagamento único de {currencyAndPrice} em cada 12 meses","1y.monthlyBuyPage.chargeComment",false,"1y.monthlyBuyPage.chargeComment","1y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 YEAR LICENSE","LICENÇA DE 1 ANO","1y.monthlyBuyPage.periodTitle",false,"1y.monthlyBuyPage.periodTitle","1y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 YEAR LICENSE","LICENÇA DE 1 ANO","1y.monthlyPlanPicker.caption",false,"1y.monthlyPlanPicker.caption","1y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 12 months","Faturado como um pagamento único de {currencyAndPrice} em cada 12 meses","1y.monthlyPlanPicker.chargeComment",false,"1y.monthlyPlanPicker.chargeComment","1y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Annual Plan","Plano Anual","1y.planPicker.caption",false,"1y.planPicker.caption","1y.planPicker.caption"
"src/routes/messages.js",Yearly,Anualmente,"1y.planPicker.periodTitle",false,"1y.planPicker.periodTitle","1y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Yearly plan","Alguém em <%geo%> acabou de comprar um plano Anual","1y.planPicker.salePrompt",false,"1y.planPicker.salePrompt","1y.planPicker.salePrompt"
"src/routes/messages.js","1 year license","LICENÇA DE 1 ANO","1y.receipt.caption",false,"1y.receipt.caption","1y.receipt.caption"
"src/routes/messages.js",Yearly,Anualmente,"1y3.buyPage.periodTitle",false,"1y3.buyPage.periodTitle","1y3.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 12 months","Pagamento único de {currencyAndPrice} em cada 12 meses","1y3.monthlyBuyPage.chargeComment",false,"1y3.monthlyBuyPage.chargeComment","1y3.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 YEAR 3 LICENSES","1 ANO 3 LICENÇAS","1y3.monthlyBuyPage.periodTitle",false,"1y3.monthlyBuyPage.periodTitle","1y3.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 YEAR 3 LICENSES","1 ANO 3 LICENÇAS","1y3.monthlyPlanPicker.caption",false,"1y3.monthlyPlanPicker.caption","1y3.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 12 months","Faturado como um pagamento único de {currencyAndPrice} em cada 12 meses","1y3.monthlyPlanPicker.chargeComment",false,"1y3.monthlyPlanPicker.chargeComment","1y3.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","FAMILY PACK","Pack Família","1y3.planPicker.caption",false,"1y3.planPicker.caption","1y3.planPicker.caption"
"src/routes/messages.js",Yearly,Anualmente,"1y3.planPicker.periodTitle",false,"1y3.planPicker.periodTitle","1y3.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Family pack","Alguém em <%geo%> acabou de comprar um pacote Familiar","1y3.planPicker.salePrompt",false,"1y3.planPicker.salePrompt","1y3.planPicker.salePrompt"
"src/routes/messages.js","Protect 3 Family Members","Proteja 3 Membros da Família","1y3.planPicker.specialCaption",false,"1y3.planPicker.specialCaption","1y3.planPicker.specialCaption"
"src/routes/messages.js","Purchase 3 ByteFence Pro licenses at a discount price","Compre 3 licenças ByteFence Pro com desconto no preço","1y3.planPicker.specialPlanDescription",false,"1y3.planPicker.specialPlanDescription","1y3.planPicker.specialPlanDescription"
"src/routes/messages.js","Keep Your Family and Friends Protected","Mantenha a Sua Família e Amigos Protegidos","1y3.planPicker.specialPlanHeading",false,"1y3.planPicker.specialPlanHeading","1y3.planPicker.specialPlanHeading"
"src/routes/messages.js","family pack 1 year license","","1y3.receipt.caption",false,"1y3.receipt.caption","1y3.receipt.caption"
"src/routes/messages.js","You can activate 3 different computers using the same license key.","Pode ativar 3 computadores diferentes usando a mesma licença.","1y3.successPage.licenceCaption",false,"1y3.successPage.licenceCaption","1y3.successPage.licenceCaption"
"src/routes/messages.js","2 YEARS","2 Anos","2y.buyPage.periodTitle",false,"2y.buyPage.periodTitle","2y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 24 months","Pagamento único de {currencyAndPrice} em cada 24 meses","2y.monthlyBuyPage.chargeComment",false,"2y.monthlyBuyPage.chargeComment","2y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","2 YEARS LICENSE","LICENÇA DE 2 ANOS","2y.monthlyBuyPage.periodTitle",false,"2y.monthlyBuyPage.periodTitle","2y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","2 YEARS LICENSE","LICENÇA DE 2 ANOS","2y.monthlyPlanPicker.caption",false,"2y.monthlyPlanPicker.caption","2y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 24 months","Faturado como um pagamento único de {currencyAndPrice} em cada 24 meses","2y.monthlyPlanPicker.chargeComment",false,"2y.monthlyPlanPicker.chargeComment","2y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Two Years Plan","Plano de Dois Anos","2y.planPicker.caption",false,"2y.planPicker.caption","2y.planPicker.caption"
"src/routes/messages.js","2 YEARS","2 Anos","2y.planPicker.periodTitle",false,"2y.planPicker.periodTitle","2y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 2 years plan","Alguém em <%geo%> acabou de comprar um plano de 2 anos","2y.planPicker.salePrompt",false,"2y.planPicker.salePrompt","2y.planPicker.salePrompt"
"src/routes/messages.js","2 years license","LICENÇA DE 2 ANOS","2y.receipt.caption",false,"2y.receipt.caption","2y.receipt.caption"
"src/routes/messages.js","3 YEARS","3 Anos","3y.buyPage.periodTitle",false,"3y.buyPage.periodTitle","3y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 36 months","Pagamento único de {currencyAndPrice} em cada 36 meses","3y.monthlyBuyPage.chargeComment",false,"3y.monthlyBuyPage.chargeComment","3y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","2 YEARS LICENSE","LICENÇA DE 2 ANOS","3y.monthlyBuyPage.periodTitle",false,"2y.monthlyBuyPage.periodTitle","2y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","3 YEARS LICENSE","LICENÇA DE 3 ANOS","3y.monthlyPlanPicker.caption",false,"3y.monthlyPlanPicker.caption","3y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 36 months","Faturado como um pagamento único de {currencyAndPrice} em cada 36 meses","3y.monthlyPlanPicker.chargeComment",false,"3y.monthlyPlanPicker.chargeComment","3y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Three Years Plan","Planos de Três Anos","3y.planPicker.caption",false,"3y.planPicker.caption","3y.planPicker.caption"
"src/routes/messages.js","3 YEARS","3 Anos","3y.planPicker.periodTitle",false,"3y.planPicker.periodTitle","3y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 3 years plan","Alguém em <%geo%> acabou de comprar um plano de 3 anos","3y.planPicker.salePrompt",false,"3y.planPicker.salePrompt","3y.planPicker.salePrompt"
"src/routes/messages.js","3 years license","LICENÇA DE 3 ANOS","3y.receipt.caption",false,"3y.receipt.caption","3y.receipt.caption"
"src/routes/messages.js","6 Months","6 Meses","6m.buyPage.periodTitle",false,"6m.buyPage.periodTitle","6m.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 6 months","Pagamento único de {currencyAndPrice} em cada 6 meses","6m.monthlyBuyPage.chargeComment",false,"6m.monthlyBuyPage.chargeComment","6m.monthlyBuyPage.chargeComment"
"src/routes/messages.js","6 MONTHS LICENSE","LICENÇA DE 6 MESES","6m.monthlyBuyPage.periodTitle",false,"6m.monthlyBuyPage.periodTitle","6m.monthlyBuyPage.periodTitle"
"src/routes/messages.js","6 MONTHS LICENSE","LICENÇA DE 6 MESES","6m.monthlyPlanPicker.caption",false,"6m.monthlyPlanPicker.caption","6m.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 6 months","Faturado como um pagamento único de {currencyAndPrice} em cada 6 meses","6m.monthlyPlanPicker.chargeComment",false,"6m.monthlyPlanPicker.chargeComment","6m.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Semi-Annual Plan","Plano Semi-Anual","6m.planPicker.caption",false,"6m.planPicker.caption","6m.planPicker.caption"
"src/routes/messages.js","6 Months","6 Meses","6m.planPicker.periodTitle",false,"6m.planPicker.periodTitle","6m.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 6 months plan","Alguém em <%geo%> acabou de comprar um plano de 6 meses","6m.planPicker.salePrompt",false,"6m.planPicker.salePrompt","6m.planPicker.salePrompt"
"src/routes/messages.js","6 months license","LICENÇA DE 6 MESES","6m.receipt.caption",false,"6m.receipt.caption","6m.receipt.caption"
"src/routes/messages.js",Argentina,Argentina,"general.Argentina",false,"general.Argentina","general.Argentina"
"src/routes/messages.js",Australia,Austrália,"general.Australia",false,"general.Australia","general.Australia"
"src/routes/messages.js",Brazil,Brasil,"general.Brazil",false,"general.Brazil","general.Brazil"
"src/routes/messages.js",Canada,Canadá,"general.Canada",false,"general.Canada","general.Canada"
"src/routes/messages.js",Egypt,Egito,"general.Egypt",false,"general.Egypt","general.Egypt"
"src/routes/messages.js",France,França,"general.France",false,"general.France","general.France"
"src/routes/messages.js",Germany,Alemanha,"general.Germany",false,"general.Germany","general.Germany"
"src/routes/messages.js",India,Índia,"general.India",false,"general.India","general.India"
"src/routes/messages.js",Italy,Itália,"general.Italy",false,"general.Italy","general.Italy"
"src/routes/messages.js",Japan,Japão,"general.Japan",false,"general.Japan","general.Japan"
"src/routes/messages.js",Mexico,México,"general.Mexico",false,"general.Mexico","general.Mexico"
"src/routes/messages.js","New Zealand","Nova Zelândia","general.NewZealand",false,"general.New Zealand","general.New Zealand"
"src/routes/messages.js",Norway,Noruega,"general.Norway",false,"general.Norway","general.Norway"
"src/routes/messages.js",Portugal,Portugal,"general.Portugal",false,"general.Portugal","general.Portugal"
"src/routes/messages.js",Recommended,Recomendado,"general.Recommended",false,"general.Recommended","general.Recommended"
"src/routes/messages.js","Saudi Arabia","Arábia Saudita","general.SaudiArabia",false,"general.Saudi Arabia","general.Saudi Arabia"
"src/routes/messages.js",Spain,Espanha,"general.Spain",false,"general.Spain","general.Spain"
"src/routes/messages.js",Switzerland,Suíça,"general.Switzerland",false,"general.Switzerland","general.Switzerland"
"src/routes/messages.js","United Kingdom","Reino Unido","general.UnitedKingdom",false,"general.United Kingdom","general.United Kingdom"
"src/routes/messages.js","BEST DEAL","MELHOR OFERTA","general.bestDeal",false,"general.bestDeal","general.bestDeal"
"src/routes/messages.js","ByteFence’s cutting edge software detects and removes Trojans, Worms, Spyware, and other high risk malware.","A tecnologia de ponta do software ByteFence deteta e remove Trojans, Worms, Spyware e qualquer outro malware de risco elevado.","general.byteFenceProduct",false,"general.byteFenceProduct","general.byteFenceProduct"
"src/routes/messages.js","At ByteFence we care about your online privacy, check out this special offer that will guarantee your privacy.","A ByteFence preocupa-se imenso com a sua privacidade online. Veja esta oferta especial que garantirá a sua privacidade.","general.cartDescription",false,"general.cartDescription","general.cartDescription"
"src/routes/messages.js","ByteFence Anti-malware’s cutting edge software detects and removes Trojans, Worms, Spyware, Crapware and other high risk malware","O software Anti-malware inovador da ByteFence, deteta e remove Trojans, Worms, Spyware, Crapware e outros tipos de malware de alto risco","general.description",false,"general.description","general.description"
"src/routes/messages.js","Secure 3 computers. ByteFence Family Pack protects your family against Trojans, Worms, Spyware, Crapware and other high risk malware.","Proteja 3 computadores. O Pack Família da ByteFence protege a sua família contra Trojans, Worms, Spyware, Crapware e outros malwares de risco.","general.familyDescription",false,"general.familyDescription","general.familyDescription"
"src/routes/messages.js",Month,mês,"general.month",false,"general.month","general.month"
"src/routes/messages.js","{currency}{price} Monthly Value","Valor Mensal de {currency}{price}","general.monthlyValue",false,"general.monthlyValue","general.monthlyValue"
"src/routes/messages.js","Browse anonymously, secure your internet connection, and unblock any website. Protect yourself with a VPN.","Navegue anonimamente, proteja a sua ligação à Internet e desbloqueie qualquer website. Proteja-se com uma VPN.","general.saferVpnProduct",false,"general.saferVpnProduct","general.saferVpnProduct"
"src/routes/messages.js","United States","Estados Unidos da América","general.us",false,"general.us","general.us"
"src/routes/NotFound/NotFound.js","Reason Home Page","","notFound.homeLink",false,"404 homeLink","404 homeLink"
"src/routes/NotFound/NotFound.js","Reason Store.","","notFound.shopLink",false,"404 shopLink","404 shopLink"
"src/routes/NotFound/NotFound.js","support team.","","notFound.supportLink",false,"404 supportLink","404 supportLink"
"src/routes/NotFound/NotFound.js","Instead, you are welcome to navigate to the","","notFound.text.one",false,"404 text part one","404 text part one"
"src/routes/NotFound/NotFound.js","If you’ve encountered a problem, please contact our","","notFound.text.three",false,"404 text part three","404 text part three"
"src/routes/NotFound/NotFound.js","or visit the","","notFound.text.two",false,"404 text part two","404 text part two"
"src/routes/NotFound/NotFound.js","We can give you","","notFound.title.one",false,"404 title part one","404 title part one"
"src/routes/NotFound/NotFound.js","ns why this page isn’t working","","notFound.title.three",false,"404 title part three","404 title part three"
"src/routes/NotFound/NotFound.js",Reas,"","notFound.title.two",false,"404 title part two","404 title part two"
"src/components/ContactForm/ContactForm.test.js","Access my data","","contact.category.access",false,"contact category access","contact category access"
"src/components/ContactForm/ContactForm.test.js","Delete my data","","contact.category.delete",false,"contact category delete","contact category delete"
"src/components/ContactForm/messages.js","Have you purchased ByteFence Anti Malware?","Comprou o ByteFence Anti-Malware?","contact.category.purchase",false,"contact category purchase","contact category purchase"
"src/components/ContactForm/messages.js","Please choose a category","","contact.error.category",false,"contact us - category error","contact us - category error"
"src/components/ContactForm/messages.js","Please enter your contact request details","","contact.error.description",false,"contact us - description error","contact us - description error"
"src/components/ContactForm/messages.js","description is too long, max 350 characters","","contact.error.descriptionLengthError",false,"contact us - descriptionLengthError error","contact us - descriptionLengthError error"
"src/components/ContactForm/messages.js","Please enter a valid Email","Por favor, insira um email válido","contact.error.email",false,"contact us - email error","contact us - email error"
"src/components/ContactForm/messages.js","Please enter a valid full name","","contact.error.name",false,"contact us - name error","contact us - name error"
"src/components/ContactForm/messages.js",Required,"","contact.error.purchase",false,"contact us - purchase error","contact us - purchase error"
"src/components/ContactForm/messages.js","Please type a subject","","contact.error.subject",false,"contact us - subject error","contact us - subject error"
"src/components/ContactForm/messages.js","Subject is too long, max 180 characters","","contact.error.subjectLength",false,"contact us - subjectLength error","contact us - subjectLength error"
"src/components/ContactForm/messages.js","We encountered an error while trying to send your request. Please try again later.","","contact.error.submit",false,"contact us - submit error","contact us - submit error"
"src/components/ContactForm/messages.js",Description,Descrição,"contact.labels.Description",false,"contact us labels - Description","contact us labels - Description"
"src/components/ContactForm/messages.js","Choose category","Selecione a categoria","contact.labels.categorySelect",false,"contact us labels - Choose category","contact us labels - Choose category"
"src/components/ContactForm/messages.js","Email address used during registration","E-mail utilizado durante o registo","contact.labels.emailAdd",false,"contact us labels - Email during registration","contact us labels - Email during registration"
"src/components/ContactForm/messages.js","First and Last name","Primeiro e Último nome","contact.labels.name",false,"contact us labels - First and Last name","contact us labels - First and Last name"
"src/components/ContactForm/messages.js",Subject,Assunto,"contact.labels.subjects",false,"contact us labels - Subject","contact us labels - Subject"
"src/components/ContactForm/messages.js",No,Não,"contact.purchase.no",false,"contact us - purchase no","contact us - purchase no"
"src/components/ContactForm/messages.js",Yes,Sim,"contact.purchase.yes",false,"contact us - purchase yes","contact us - purchase yes"
"src/components/ContactForm/messages.js",SUBMIT,Submeter,"contact.submit",false,"contact us - send","contact us - send"
"src/routes/contact/messages.js","Activation help","Ajuda para ativação","contact.category.activation",false,"contact category activation","contact category activation"
"src/routes/contact/messages.js","Billing, renewal or refund question","Questões acerca de faturação, renovação ou reembolso","contact.category.billing",false,"contact category billing","contact category billing"
"src/routes/contact/messages.js","ByteVPN questions",ByteVPN,"contact.category.bytevpn",false,"contact category bytevpn","contact category bytevpn"
"src/routes/contact/messages.js",Errors,Erros,"contact.category.errors",false,"contact category errors","contact category errors"
"src/routes/contact/messages.js","Help choosing a plan","Ajuda na seleção de um plano","contact.category.help",false,"contact category help","contact category help"
"src/routes/contact/messages.js","License key assistance","Assistência com a chave de licença","contact.category.license",false,"contact category license","contact category license"
"src/routes/contact/messages.js",Other,Outra,"contact.category.other",false,"contact category other","contact category other"
"src/routes/contact/messages.js","Removing ByteFence","Remover o ByteFence","contact.category.remove",false,"contact category remove","contact category remove"
"src/routes/contact/messages.js",Error,Erro,"contact.error",false,"contact error","contact error"
"src/routes/contact/messages.js",OK,OK,"contact.success.ok",false,"contact us - success.ok","contact us - success.ok"
"src/routes/contact/messages.js","Message Sent!","","contact.success.sentOk",false,"contact us - success.sentOk","contact us - success.sentOk"
"src/routes/contact/messages.js","Your message to Reason support team was sent successfully.","","contact.success.sentOkBody",false,"contact us - success.sentOkBody","contact us - success.sentOkBody"
"src/routes/contact/messages.js","We couldn't send your request. You can try again later or approach our support directly at <b>support@reasonsecurity.com</b>.","","error.submit.contact",false,"contact us - submit error pop up","contact us - submit error pop up"
"src/components/PaymentForm/text.js","Credit Card","","payment.credit.cart",false,"payment.credit.cart","payment.credit.cart"
"src/components/PaymentForm/text.js",CVC,"","payment.cvc",false,"payment.cvc","payment.cvc"
"src/components/PaymentForm/text.js","In American Express - The 4 digits code on the front of your card:","","payment.cvc.tip.bottom",false,"payment.cvc.tip.bottom","payment.cvc.tip.bottom"
"src/components/PaymentForm/text.js","The 3 digits security code on the back of your card:","","payment.cvc.tip.top",false,"payment.cvc.tip.top","payment.cvc.tip.top"
"src/components/PaymentForm/text.js","Please enter a valid credit card","Por favor, insira um cartão de crédito válido","payment.error.card",false,"Payment Field Card Error Message","Payment Field Card Error Message"
"src/components/PaymentForm/text.js","Enter a valid Country","","payment.error.country",false,"Payment Field Country Error Message","Payment Field Country Error Message"
"src/components/PaymentForm/text.js","Please enter a valid security code","Por favor, insira um código de segurança válido","payment.error.cvc",false,"Payment Field CVC Error Message","Payment Field CVC Error Message"
"src/components/PaymentForm/text.js","Please enter a valid email","Por favor, insira um email válido","payment.error.email",false,"Payment Field Email Error Message","Payment Field Email Error Message"
"src/components/PaymentForm/text.js","Please enter a valid expiry date","Por favor, insira uma data de validade válida","payment.error.expiry",false,"Payment Field Expiry date Error Message","Payment Field Expiry date Error Message"
"src/components/PaymentForm/text.js","Please enter a valid first name","Por favor, insira um nome válido","payment.error.first.Name",false,"Payment Field First Name Error Message","Payment Field First Name Error Message"
"src/components/PaymentForm/text.js","Please enter a valid last name","Por favor, insira um apelido válido","payment.error.last.Name",false,"Payment Field Last Name Error Message","Payment Field Last Name Error Message"
"src/components/PaymentForm/text.js","Please enter a valid ZIP code","Por favor insira um código postal válido","payment.error.zip",false,"Payment Field zip Error Message","Payment Field zip Error Message"
"src/components/PaymentForm/text.js",Country,País,"payment.labels.Country",false,"payment labels - Choose Country","payment labels - Choose Country"
"src/components/PaymentForm/text.js","Card Number","Número do Cartão","payment.labels.card",false,"payment labels - card","payment labels - card"
"src/components/PaymentForm/text.js","Email Address","Endereço E-mail","payment.labels.emailAdd",false,"payment labels - Email","payment labels - Email"
"src/components/PaymentForm/text.js","First Name",Nome,"payment.labels.first.name",false,"payment labels - First name","payment labels - First name"
"src/components/PaymentForm/text.js","Last Name",Apelido,"payment.labels.last.name",false,"payment labels - last name","payment labels - last name"
"src/components/PaymentForm/text.js","ZIP Code","Código postal","payment.labels.zip",false,"payment labels - zip code","payment labels - zip code"
"src/components/PaymentForm/text.js",Month,mês,"payment.month",false,"payment.month","payment.month"
"src/components/PaymentForm/text.js","Buy Now","Compre Agora","payment.next",false,"payment.next","payment.next"
"src/components/PaymentForm/text.js","Secure payment. All major credit cards accepted.","Pagamento seguro. Aceitamos todos os cartões de crédito fidedignos.","payment.secureNote",false,"payment.secureNote","payment.secureNote"
"src/components/PaymentForm/text.js",Year,ano,"payment.year",false,"payment.year","payment.year"
"src/routes/cart/messages.js",Error,Erro,error,false,error,error
"src/routes/cart/messages.js","Reason Premium Antivirus is not supported in your country. <br><br>We apologize for the inconvenience.","","error.blocked",false,"error.blocked","error.blocked"
